,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
0,3V9cM3nCH2G66afoDi0snu,BOOM,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,70,"['modern alternative rock', 'modern rock', 'stomp pop']",ORION,62,0.732,0.594,11,-5.911,0,0.0693,0.00805,0.0301,0.0802,0.676,107.996,audio_features,3V9cM3nCH2G66afoDi0snu,https://api.spotify.com/v1/tracks/3V9cM3nCH2G66afoDi0snu,https://api.spotify.com/v1/audio-analysis/3V9cM3nCH2G66afoDi0snu,164587,4,Motivate
1,0fYVliAYKHuPmECRs1pbRf,Renegades,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,70,"['modern alternative rock', 'modern rock', 'stomp pop']",VHS,80,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,audio_features,0fYVliAYKHuPmECRs1pbRf,https://api.spotify.com/v1/tracks/0fYVliAYKHuPmECRs1pbRf,https://api.spotify.com/v1/audio-analysis/0fYVliAYKHuPmECRs1pbRf,195200,4,Motivate
2,2NldmECxe8jE4TmLmu5Yao,Hey Child,Korbee,5xaoFkc3w6UTdTZ1GJOIsG,16,[],Hey Child,33,0.649,0.796,9,-3.89,1,0.0328,0.00267,0.000157,0.362,0.653,140.035,audio_features,2NldmECxe8jE4TmLmu5Yao,https://api.spotify.com/v1/tracks/2NldmECxe8jE4TmLmu5Yao,https://api.spotify.com/v1/audio-analysis/2NldmECxe8jE4TmLmu5Yao,241267,4,Motivate
3,3xgK660fsZH7ZDcOMfIdfB,Jungle,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,70,"['modern alternative rock', 'modern rock', 'stomp pop']",VHS,62,0.389,0.748,2,-4.461,1,0.0805,0.000821,0.00058,0.358,0.216,78.056,audio_features,3xgK660fsZH7ZDcOMfIdfB,https://api.spotify.com/v1/tracks/3xgK660fsZH7ZDcOMfIdfB,https://api.spotify.com/v1/audio-analysis/3xgK660fsZH7ZDcOMfIdfB,189707,4,Motivate
4,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,78,"['glam metal', 'hard rock', 'rock']",Appetite For Destruction,17,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520,4,Motivate
5,2HrsT9eflRVvdu3ZrorjQ6,Spent My Life,Kindred,0jkVPZMrqLtlTAaRnXbVeD,22,[],Spent My Life,43,0.667,0.779,7,-6.711,1,0.0328,0.545,0.00104,0.158,0.604,96.061,audio_features,2HrsT9eflRVvdu3ZrorjQ6,https://api.spotify.com/v1/tracks/2HrsT9eflRVvdu3ZrorjQ6,https://api.spotify.com/v1/audio-analysis/2HrsT9eflRVvdu3ZrorjQ6,222500,4,Motivate
6,04aAxqtGp5pv12UXAg4pkq,Centuries,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,78,"['emo', 'modern rock', 'pop', 'rock']",American Beauty/American Psycho,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,audio_features,04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,228360,4,Motivate
7,6bYjclvTLjcmZZC5GhmSFQ,Glitter & Gold,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,61,['modern alternative rock'],Glitter & Gold,33,0.49,0.621,8,-5.294,1,0.0385,0.306,0.0,0.174,0.375,170.516,audio_features,6bYjclvTLjcmZZC5GhmSFQ,https://api.spotify.com/v1/tracks/6bYjclvTLjcmZZC5GhmSFQ,https://api.spotify.com/v1/audio-analysis/6bYjclvTLjcmZZC5GhmSFQ,176413,4,Motivate
8,6jXJmMCmEXC8SmZTK0KId6,Left Hand Free,alt-J,3XHO7cRUPCLOr6jwp8vsx5,69,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",This Is All Yours,1,0.698,0.875,3,-4.45,1,0.0482,0.456,0.0157,0.0826,0.811,101.989,audio_features,6jXJmMCmEXC8SmZTK0KId6,https://api.spotify.com/v1/tracks/6jXJmMCmEXC8SmZTK0KId6,https://api.spotify.com/v1/audio-analysis/6jXJmMCmEXC8SmZTK0KId6,173631,4,Motivate
9,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,67ea9eGLXYMsO2eYQRui3w,67,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",Who's Next (Deluxe Edition),79,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,audio_features,3qiyyUfYe7CRYLucrPmulD,https://api.spotify.com/v1/tracks/3qiyyUfYe7CRYLucrPmulD,https://api.spotify.com/v1/audio-analysis/3qiyyUfYe7CRYLucrPmulD,300400,4,Motivate
